,name,latitude,longitude,city,region,cuisine,url,stars,min_price_EUR,max_price_EUR
43,Sorrel,37.788334000000006,-122.44613999999999,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sorrel,1,52.22107851613225,110.24449908961253
44,Gary Danko,37.80599,-122.42066000000001,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/gary-danko,1,67.97258620283382,135.94517240566765
45,Bar Crenn,37.798435,-122.43581,San Francisco,California,French,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bar-crenn,1,45.315057468555885,67.97258620283382
46,Spruce,37.78772,-122.45263999999999,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spruce,1,45.315057468555885,67.97258620283382
47,Wako,37.783035,-122.461525,San Francisco,California,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wako,1,67.97258620283382,135.94517240566765
48,Madcap,37.974712,-122.56168000000001,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap,1,67.97258620283382,135.94517240566765
49,Aubergine,36.55406,-121.924355,Monterey,California,Contemporary,https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine,1,67.97258620283382,135.94517240566765
50,Kenzo,38.299240000000005,-122.28928,San Francisco,California,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kenzo,1,67.97258620283382,135.94517240566765
51,La Toque,38.303509999999996,-122.28348999999999,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque,1,67.97258620283382,135.94517240566765
52,Bouchon,38.40258,-122.3619,San Francisco,California,French,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon,1,45.315057468555885,67.97258620283382
53,Auberge du Soleil,38.49199,-122.40534,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil,1,67.97258620283382,135.94517240566765
54,Farmhouse Inn & Restaurant,38.490390000000005,-122.8835,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/farmhouse-inn-restaurant,1,67.97258620283382,135.94517240566765
55,The Kitchen,38.58894,-121.41423999999999,Sacramento,California,Contemporary,https://guide.michelin.com/us/en/california/us-sacramento/restaurant/the-kitchen559371,1,48.34510337598602,185.51028039622543
56,Madrona Manor,38.604279999999996,-122.88646999999999,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor,1,67.97258620283382,135.94517240566765
57,Harbor House,39.135876,-123.719444,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/harbor-house,1,67.97258620283382,135.94517240566765
58,Shin Sushi,34.15784,-118.49415,Los Angeles,California,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shin-sushi,1,45.315057468555885,67.97258620283382
59,Rustic Canyon,34.024952,-118.49118,Los Angeles,California,Californian,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon,1,45.315057468555885,67.97258620283382
60,Dialogue,34.01679,-118.49748000000001,Los Angeles,California,Contemporary,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/dialogue,1,67.97258620283382,135.94517240566765
61,Kato,34.041683,-118.46091499999999,Los Angeles,California,Asian,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato,1,45.315057468555885,67.97258620283382
62,CUT,34.067036,-118.40102399999999,Los Angeles,California,Steakhouse,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/cut559418,1,67.97258620283382,135.94517240566765
63,Nozawa Bar,34.0683,-118.39849,Los Angeles,California,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar,1,67.97258620283382,135.94517240566765
64,Shunji,34.028496000000004,-118.45195,Los Angeles,California,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shunji,1,67.97258620283382,135.94517240566765
65,Maude,34.064346,-118.39903999999999,Los Angeles,California,Contemporary,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude,1,67.97258620283382,135.94517240566765
66,Mori Sushi,34.033398,-118.44228999999999,Los Angeles,California,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi,1,67.97258620283382,135.94517240566765
67,Trois Mec,34.084255,-118.33851000000001,Los Angeles,California,Contemporary,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/trois-mec,1,67.97258620283382,135.94517240566765
68,Osteria Mozza,34.083420000000004,-118.338974,Los Angeles,California,Italian,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza,1,45.315057468555885,67.97258620283382
69,Kali,34.083443,-118.32455,Los Angeles,California,Californian,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali,1,45.315057468555885,67.97258620283382
70,Le Comptoir,34.06354,-118.30057,Los Angeles,California,Californian,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir,1,67.97258620283382,135.94517240566765
71,Q Sushi,34.046883,-118.255844,Los Angeles,California,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,1,67.97258620283382,135.94517240566765
