name,state,region,city,latitude,longitude,cuisine,stars,min_price_EUR,max_price_EUR,url,foursquare_id,foursquare_name,foursquare_address
Parachute,United States of America,Chicago,Chicago,41.94483,-87.70638000000002,Fusion,1,45,67,https://guide.michelin.com/us/en/illinois/chicago/restaurant/parachute,5376e191498e4456c1769bd0,Parachute,3500 N Elston Ave (Troy)
Goosefoot,United States of America,Chicago,Chicago,41.96856,-87.69596,Contemporary,1,67,135,https://guide.michelin.com/us/en/illinois/chicago/restaurant/goosefoot,4ee5382b6c25be96312ba9da,Goosefoot,2656 W Lawrence Ave (at Washtenaw)
Elizabeth,United States of America,Chicago,Chicago,41.969555,-87.68873599999998,Contemporary,1,67,135,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elizabeth,501ee3dae4b062004c011fda,Elizabeth Restaurant,4835 N Western Ave (Gunnison)
EL Ideas,United States of America,Chicago,Chicago,41.863,-87.68686,Contemporary,1,67,135,https://guide.michelin.com/us/en/illinois/chicago/restaurant/el-ideas,4e2a1f62d4c0e5c89ab63cda,EL Ideas,2419 W 14th St (at Western Ave)
Band of Bohemia,United States of America,Chicago,Chicago,41.967308,-87.67477,Gastropub,1,45,67,https://guide.michelin.com/us/en/illinois/chicago/restaurant/band-of-bohemia,55411b40498e64ad76c591e7,Band of Bohemia,4710 N Ravenswood Ave (Leland)
Schwa,United States of America,Chicago,Chicago,41.90888,-87.66792,Contemporary,1,72,135,https://guide.michelin.com/us/en/illinois/chicago/restaurant/schwa,4a29af59f964a520c2951fe3,Schwa,1466 N Ashland Ave (at W Le Moyne St)
Temporis,United States of America,Chicago,Chicago,41.898907,-87.66725,Contemporary,1,67,135,https://guide.michelin.com/us/en/illinois/chicago/restaurant/temporis,57d16e53498e6f6d69696519,Temporis,933 N Ashland Ave
Entente,United States of America,Chicago,Chicago,41.93721,-87.6652,Contemporary,1,54,117,https://guide.michelin.com/us/en/illinois/chicago/restaurant/entente,57d16eb2498e847d651db302,Entente,3056 N Lincoln Ave
Elske,United States of America,Chicago,Chicago,41.884426,-87.66071,Contemporary,1,67,135,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elske,57cdd4f1498e735d5bb57d74,Elske,1350 W Randolph St
Dusek's (Board & Beer),United States of America,Chicago,Chicago,41.85785300000001,-87.65756999999998,Gastropub,1,27,51,https://guide.michelin.com/us/en/illinois/chicago/restaurant/dusek-s-board-beer,not found,not found,not found
Roister,United States of America,Chicago,Chicago,41.886658,-87.65187,Contemporary,1,27,120,https://guide.michelin.com/us/en/illinois/chicago/restaurant/roister,56fc6a13498edeb9c07e3398,Roister,951 W Fulton Market (Morgan)
Boka,United States of America,Chicago,Chicago,41.91363,-87.64806,Contemporary,1,45,67,https://guide.michelin.com/us/en/illinois/chicago/restaurant/boka,4a598740f964a5206fb91fe3,Boka,1729 N Halsted St
Blackbird,United States of America,Chicago,Chicago,41.88423,-87.64356,Contemporary,1,33,64,https://guide.michelin.com/us/en/illinois/chicago/restaurant/blackbird,49dcdfe0f964a520b45f1fe3,Blackbird,619 W Randolph St (at N Desplaines St.)
Sepia,United States of America,Chicago,Chicago,41.88394,-87.64246999999996,American,1,45,67,https://guide.michelin.com/us/en/illinois/chicago/restaurant/sepia,49dcd38ff964a520a95f1fe3,Sepia,123 N Jefferson St (btwn W Washington St & W Randolph St)
North Pond,United States of America,Chicago,Chicago,41.9296,-87.63762,Contemporary,1,45,67,https://guide.michelin.com/us/en/illinois/chicago/restaurant/north-pond,4bcf05dbfb84c9b639a7243e,North Pond Nature Sanctuary,Lincoln Park
Everest,United States of America,Chicago,Chicago,41.87597,-87.63212,French,1,67,135,https://guide.michelin.com/us/en/illinois/chicago/restaurant/everest,4b560a73f964a5204dfd27e3,Everest,"425 S. Financial Pl., 40th Fl"
Topolobampo,United States of America,Chicago,Chicago,41.89047,-87.63085,Mexican,1,67,135,https://guide.michelin.com/us/en/illinois/chicago/restaurant/topolobampo,4c67261b9cedd13af4db77a1,Topolobampo,445 N Clark St (Illinois)
Spiaggia,United States of America,Chicago,Chicago,41.90062,-87.62456999999998,Italian,1,48,140,https://guide.michelin.com/us/en/illinois/chicago/restaurant/spiaggia,4a26e91bf964a520ed7e1fe3,Spiaggia,980 N Michigan Ave (at Oak St)
Monte,Croatia,Croatia,Rovinj,45.08279,13.631168,Creative,1,67,121,https://guide.michelin.com/hr/en/istria/rovinj/restaurant/monte,4d641dac897a224bf8f11ccf,Restaurant Monte Rovinj,Montalbano 75
Draga di Lovrana,Croatia,Croatia,Lovran,45.275867,14.251401,Modern cuisine,1,36,74,https://guide.michelin.com/hr/en/primorje-gorski-kotar/lovran/restaurant/draga-di-lovrana,5055c6d1e4b09ebc6f8df28c,Hotel Draga di Lovrana,Hrvatska
Noel,Croatia,Croatia,Zagreb,45.811054,15.988205,Modern cuisine,1,57,92,https://guide.michelin.com/hr/en/zagreb-region/zagreb/restaurant/noel,57dc432b498e8c5231afa443,Noel,Ulica popa Dukljanina 1
Pelegrini,Croatia,Croatia,Šibenik,43.73603,15.888903,Modern cuisine,1,60,90,https://guide.michelin.com/hr/en/sibenik-knin/sibenik/restaurant/pelegrini,4c2a48c4c758e21e73673a3f,Pelegrini,Jurja Dalmatinca 1
360º,Croatia,Croatia,Dubrovnik,42.641563,18.111523,Modern cuisine,1,64,110,https://guide.michelin.com/hr/en/dubrovnik-neretva/dubrovnik/restaurant/360%C2%BA,4ffdf79ee4b00c78494f4389,Restaurant 360,Svetog Dominika BB 20 000
Field,Czech Republic,Czech Republic,Praha,50.0919,14.42193,Modern cuisine,1,45,137,https://guide.michelin.com/cz/en/prague/praha/restaurant/field,54589c95498e30f319d3b5b6,FIELD Restaurant,U milosrdných 852/12
La Degustation Bohême Bourgeoise,Czech Republic,Czech Republic,Praha,50.09115,14.42511,Modern cuisine,1,135,135,https://guide.michelin.com/cz/en/prague/praha/restaurant/la-degustation-boheme-bourgeoise,4b03dc41f964a520625022e3,La Degustation Bohême Bourgeoise,Haštalská 18
Gastromé,Denmark,Denmark,Aarhus,56.15788000000001,10.20937,Modern cuisine,1,80,147,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/gastrome,548361fa498ee0762e61f53a,Gastromé,Rosensgade 28
Domestic,Denmark,Denmark,Aarhus,56.15893000000001,10.212132,Modern cuisine,1,73,127,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/domestic,57b75620498e68478d7e4324,Restaurant Domestic,Mejlgade 35B
Substans,Denmark,Denmark,Aarhus,56.15415,10.20372,Modern cuisine,1,107,160,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/substans,4bc5cd296c26b7132dbdebf3,Restaurant Substans,Frederiksgade 74
Frederikshøj,Denmark,Denmark,Aarhus,56.12497,10.208638,Creative,1,153,153,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/frederikshoj,4c586e8215a39c748db83eb9,Restaurant Frederikshøj,Oddervej 19
Ti Trin Ned,Denmark,Denmark,Fredericia,55.56659000000001,9.752689,Modern cuisine,1,117,160,https://guide.michelin.com/dk/en/southern-denmark/fredericia/restaurant/ti-trin-ned,4d0bc826d8d78cfa0c231fbe,10 Trin Ned,Danmark
Dragsholm Slot Gourmet,Denmark,Denmark,Hørve,55.771236,11.390805,Creative,1,133,160,https://guide.michelin.com/dk/en/zealand/horve/restaurant/slotskokkenet,4bd9612be914a593ff4b56fa,Dragsholm Slot,Dragsholm Alle 1
Søllerød Kro,Denmark,Denmark,København,55.81325,12.49548,Modern cuisine,1,52,175,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/sollerod-kro,4b910551f964a5207e9f33e3,Søllerød Kro,Søllerødvej 35
Jordnær,Denmark,Denmark,København,55.748226,12.541014,Danish,1,113,173,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/jordnaer,598dcce2f0b49078f2f9a816,Jordnær,2820 Gentofte
Relæ,Denmark,Denmark,København,55.693233,12.543222,Modern cuisine,1,63,119,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/relae,4c6c4a2cf2846dcb2d8162e9,Relæ,Jægersborggade 41
Kiin Kiin,Denmark,Denmark,København,55.69188000000001,12.55754,Thai,1,66,130,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kiin-kiin,4b8ffcb0f964a520496e33e3,Kiin Kiin,Guldbergsgade 21
formel B,Denmark,Denmark,København,55.67031,12.53798,Modern cuisine,1,56,120,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/formel-b,4b75c0a9f964a52012222ee3,Formel B,Vesterbrogade 182
Kokkeriet,Denmark,Denmark,København,55.68768000000001,12.58492,Modern cuisine,1,90,160,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kokkeriet,4beee9c63686c9b6962f256e,Kokkeriet,Kronprinsessegade 64
Clou,Denmark,Denmark,København,55.68342,12.58497,Modern cuisine,1,214,214,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/clou,50705019e4b07ddeb38a3330,Clou,Borgergade 16
Marchal,Denmark,Denmark,København,55.68034,12.58508,Modern cuisine,1,58,137,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/marchal,51a48117498e41b64092f10b,Marchal,Kongens Nytorv 34
